molecule_chembl_id,canonical_smiles,standard_value
CHEMBL458472,COc1cc(C(=O)OCc2ccc(O[C@@H]3O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)ccc1O,100.0
CHEMBL4476028,Cc1cs/c(=N\C(=O)c2ccco2)n1-c1cc(Cl)c(Cl)cc1Cl,100.0
CHEMBL4443277,Cc1cs/c(=N\C(=O)c2cc3ccccc3oc2=O)n1-c1cc(Cl)c(Cl)cc1Cl,100.0
CHEMBL4442767,Cc1cccc(C(=O)/N=c2\scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)c1,100.0
CHEMBL4457996,COc1ccc(C(=O)/N=c2\scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)cc1,100.0
CHEMBL4444856,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)cc1,100.0
CHEMBL470042,C=C1C[C@H]2[C@@](C)(C(=O)C(O)=C3C(C)(C)C(=O)CC[C@@]32C)[C@@H]2C(=O)O[C@@](C)(C(=O)OC)C(=O)[C@@]12C,100.0
CHEMBL515507,COc1cc(C(=O)OCc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)ccc1O,100.0
CHEMBL470039,COc1cc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc2c1OCO2,100.0
CHEMBL4468394,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)cc1,100.0
CHEMBL4459920,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)cc1,100.0
CHEMBL4543754,Cc1cs/c(=N\C(=O)c2ccccc2Cl)n1-c1cc(Cl)c(Cl)cc1Cl,100.0
CHEMBL4526576,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)cc1,100.0
CHEMBL511953,C=C1C[C@]2(O)[C@@]3(C)CCC(=O)C(C)(C)C3=C(O)C(=O)[C@@]2(C)[C@@H]2C(=O)O[C@@](C)(C(=O)OC)C(=O)[C@@]12C,100.0
CHEMBL5276586,Cl.O=[N+]([O-])c1ccccc1C1OC[C@@H](O)[C@@H]([C@H](O)C[S@+]2C[C@@H](O)[C@H](O)[C@H]2CO)O1,100.0
CHEMBL4860203,CC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,100.0
CHEMBL3311516,COc1ccc(CCCC[C@@H]2N[C@@H](CO)[C@H](O)[C@H]2O)cc1,110.0
CHEMBL476960,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,110.0
CHEMBL5272219,CC(=O)c1cc2cc(-c3cccc(Cl)c3)oc2cc1O,110.0
CHEMBL4873807,CCCCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,120.0
CHEMBL3814838,CCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],120.0
CHEMBL3944972,O=C(Nn1c(-c2cc3ccccc3oc2=O)cs/c1=N\c1ccc(Cl)c(Cl)c1)c1ccccc1O,120.0
CHEMBL1770626,CCO[C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],120.0
CHEMBL4858697,CCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,140.0
CHEMBL4456568,Cc1cs/c(=N\C(=O)c2cccc3ccccc23)n1-c1cc(Cl)c(Cl)cc1Cl,150.0
CHEMBL4440783,Cc1ccccc1C(=O)/N=c1\scc(C)n1-c1cc(Cl)c(Cl)cc1Cl,150.0
CHEMBL3349439,OC[C@@]1(O)C[C@H](N[C@H]2CCCC[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,160.0
CHEMBL4470451,CCn1c2ccccc2c2cc(NC(=O)CSc3nc4ccccc4[nH]3)ccc21,170.0
CHEMBL3311517,OC[C@@H]1N[C@@H](CCCCc2ccc(O)cc2)[C@H](O)[C@H]1O,170.0
CHEMBL5186198,OC[C@]1(c2ccc(O)cc2)NC[C@H](O)[C@H]1O,180.0
CHEMBL3349436,OCC1=C[C@H](NC(CO)CO)[C@H](O)[C@@H](O)[C@@H]1O,180.0
CHEMBL3349440,OCC(CO)N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,180.0
CHEMBL3311518,OC[C@@H]1N[C@@H](CCCCc2ccc(F)cc2)[C@H](O)[C@H]1O,180.0
CHEMBL460255,[O-][S+]1CC(O)C(O)C(O)CC(O)CC(O)C(O)C(O)C(O)C1,186.0
CHEMBL4855744,O=C(Sc1nncs1)c1ccc(-c2ccc(Cl)cc2)o1,186.0
CHEMBL5189075,OC[C@]1(c2ccccc2)NC[C@H](O)[C@H]1O,190.0
CHEMBL2374255,OC[C@@]1(O)C[C@H](NC[C@@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,190.0
CHEMBL2177691,CC(C)CCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,190.0
CHEMBL4868336,CCCCCCCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,190.0
CHEMBL4856375,C[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,200.0
CHEMBL5191437,OC[C@@]1(c2ccc(F)cc2)NC[C@@H](O)[C@@H]1O,200.0
CHEMBL3354062,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccccc1-c1ccccc1,200.0
CHEMBL1641739,CCCC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,200.0
CHEMBL3354063,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1cccc(-c2ccccc2)c1,200.0
CHEMBL4857181,CCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,200.0
CHEMBL3763319,OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@H](OCc1ccccc1C(F)(F)F)[C@H](O)[C@@H](O)CO.[Cl-],200.0
CHEMBL3764223,O=[N+]([O-])c1cccc(CO[C@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S+]2C[C@@H](O)[C@H](O)[C@H]2CO)c1.[Cl-],210.0
CHEMBL2177690,OC[C@@H]1N[C@@H](CCCCc2ccccc2)[C@H](O)[C@H]1O,220.0
CHEMBL5198563,CCCC[C@@]1(CO)NC[C@H](O)[C@H]1O,220.0
CHEMBL5269400,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@H]1OC(c2ccccc2C(F)(F)F)OC[C@H]1O.[Cl-],220.0
CHEMBL3311519,OC[C@@H]1N[C@@H](CCCCc2cc(F)cc(F)c2)[C@H](O)[C@H]1O,220.0
CHEMBL4874620,CCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,230.0
CHEMBL4855098,CCCCCCC[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,230.0
CHEMBL5287026,COc1cc2c(O)c(Oc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c4ccc(=O)oc4c3)c(=O)oc2cc1O,231.0
CHEMBL4462061,COc1cc2cc(Oc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c4ccc(=O)oc4c3)c(=O)oc2cc1O,231.0
CHEMBL5280680,Brc1ccc(-c2csc(-n3nc(-c4ccccc4)cc3-c3c[nH]c4ccccc34)n2)cc1,236.1
CHEMBL3814911,CCCCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],240.0
CHEMBL5082173,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OCCCCCCCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,240.0
CHEMBL4435163,Cc1cc2c(c(=O)[nH]1)C(=O)O/C2=C\c1cc(Br)cs1,240.0
CHEMBL3354624,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1F,250.0
CHEMBL3354622,C[C@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccc(-c2ccccc2)cc1,250.0
CHEMBL2051760,CO[C@H]1O[C@H](C)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,250.0
CHEMBL5429566,O=C(O)C(F)(F)F.OC[C@H]1N[C@H](CCCCCCCCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,250.0
CHEMBL3354025,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1,250.0
CHEMBL110458,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,260.0
